"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M",
"Geography","Geographic Area Name","Estimate!!Households!!Total","Margin of Error!!Households!!Total","Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more","Estimate!!Households!!Median income (dollars)","Margin of Error!!Households!!Median income (dollars)","Estimate!!Households!!Mean income (dollars)","Margin of Error!!Households!!Mean income (dollars)","Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Families!!Total","Margin of Error!!Families!!Total","Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more","Estimate!!Families!!Median income (dollars)","Margin of Error!!Families!!Median income (dollars)","Estimate!!Families!!Mean income (dollars)","Margin of Error!!Families!!Mean income (dollars)","Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Married-couple families!!Total","Margin of Error!!Married-couple families!!Total","Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more","Estimate!!Married-couple families!!Median income (dollars)","Margin of Error!!Married-couple families!!Median income (dollars)","Estimate!!Married-couple families!!Mean income (dollars)","Margin of Error!!Married-couple families!!Mean income (dollars)","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Nonfamily households!!Total","Margin of Error!!Nonfamily households!!Total","Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more","Estimate!!Nonfamily households!!Median income (dollars)","Margin of Error!!Nonfamily households!!Median income (dollars)","Estimate!!Nonfamily households!!Mean income (dollars)","Margin of Error!!Nonfamily households!!Mean income (dollars)","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months",
"0400000US01","Alabama","2059528","11700","6.4","0.3","4.7","0.3","7.8","0.3","7.9","0.3","11.2","0.4","16.8","0.5","13.3","0.4","16.0","0.4","7.5","0.3","8.3","0.3","66659","780","90741","1127","37.6","(X)","(X)","(X)","(X)","(X)","1328397","15669","3.7","0.3","2.2","0.2","5.1","0.4","5.8","0.4","10.0","0.4","16.5","0.5","14.9","0.5","20.2","0.6","10.0","0.4","11.6","0.4","84851","1063","109959","1569","(X)","(X)","39.6","(X)","(X)","(X)","945230","13945","1.3","0.2","0.9","0.1","2.5","0.3","4.0","0.3","7.2","0.4","15.5","0.6","15.8","0.6","24.5","0.7","12.9","0.6","15.4","0.6","103819","1248","130247","1954","(X)","(X)","(X)","(X)","(X)","(X)","731131","12070","12.2","0.8","9.5","0.6","13.3","0.7","11.9","0.7","14.2","0.7","17.3","0.8","9.5","0.7","7.4","0.6","2.6","0.4","2.1","0.3","37952","1176","52804","1542","(X)","(X)","(X)","(X)","33.2","(X)",
"0400000US02","Alaska","274045","3774","3.7","0.6","2.0","0.4","5.2","0.8","4.9","0.7","8.8","1.0","14.6","1.1","12.8","1.0","20.6","1.5","12.7","1.0","14.6","1.1","95665","3278","122082","4302","36.8","(X)","(X)","(X)","(X)","(X)","176794","4478","2.4","0.6","1.1","0.4","2.5","0.6","2.8","0.6","6.5","0.9","11.5","1.0","14.0","1.3","24.3","1.8","15.5","1.3","19.4","1.6","114035","2802","143328","5571","(X)","(X)","38.6","(X)","(X)","(X)","135772","4626","0.5","0.2","0.5","0.2","1.6","0.5","1.8","0.6","4.7","0.8","10.3","1.2","13.2","1.4","26.6","2.1","18.1","1.6","22.8","1.9","130953","5662","159180","6292","(X)","(X)","(X)","(X)","(X)","(X)","97251","4954","7.0","1.1","3.7","0.8","11.0","2.2","9.1","1.6","13.7","2.1","19.9","2.4","11.4","1.9","12.4","2.0","7.1","1.6","4.6","1.3","55560","4111","77659","5202","(X)","(X)","(X)","(X)","30.9","(X)",
"0400000US04","Arizona","2982475","11520","4.9","0.3","2.5","0.2","5.6","0.3","6.1","0.3","10.4","0.4","16.4","0.4","13.9","0.4","18.3","0.5","9.8","0.3","12.2","0.4","81486","684","110522","1426","38.0","(X)","(X)","(X)","(X)","(X)","1910979","15536","2.9","0.2","1.4","0.2","3.3","0.3","4.3","0.3","8.3","0.4","15.7","0.6","14.8","0.6","21.0","0.7","12.1","0.5","16.0","0.5","98284","1481","129300","1937","(X)","(X)","40.6","(X)","(X)","(X)","1389432","16416","1.5","0.2","0.9","0.2","2.1","0.2","3.2","0.3","6.3","0.4","13.7","0.6","14.1","0.5","23.3","0.7","14.6","0.6","20.3","0.7","115018","1626","147909","2524","(X)","(X)","(X)","(X)","(X)","(X)","1071496","14445","9.5","0.6","4.7","0.4","10.1","0.6","9.9","0.7","14.5","0.6","18.6","0.7","11.9","0.6","11.8","0.6","4.6","0.4","4.4","0.4","51008","738","71378","1458","(X)","(X)","(X)","(X)","31.9","(X)",
"0400000US05","Arkansas","1246754","7595","6.0","0.4","4.6","0.3","8.2","0.5","9.0","0.5","12.8","0.6","17.6","0.6","12.8","0.5","15.8","0.7","6.6","0.4","6.6","0.4","62106","831","85474","1430","36.2","(X)","(X)","(X)","(X)","(X)","806922","10834","3.6","0.4","2.5","0.3","4.7","0.5","7.1","0.6","11.5","0.7","17.8","0.7","14.4","0.7","20.5","1.0","8.9","0.6","9.1","0.5","79037","1450","102734","2031","(X)","(X)","38.4","(X)","(X)","(X)","590148","10792","1.5","0.3","1.4","0.3","2.8","0.4","5.2","0.6","9.1","0.6","16.5","0.8","15.9","0.8","24.7","1.1","11.3","0.8","11.6","0.7","95697","1878","119261","2566","(X)","(X)","(X)","(X)","(X)","(X)","439832","9723","11.4","0.8","9.0","0.6","15.0","1.0","13.0","1.0","16.4","1.2","16.6","1.0","8.8","0.7","6.3","0.7","2.0","0.4","1.6","0.3","36074","927","50217","1790","(X)","(X)","(X)","(X)","31.0","(X)",
"0400000US06","California","13797638","19379","4.6","0.1","3.0","0.1","5.0","0.1","4.9","0.1","7.9","0.1","13.1","0.2","11.4","0.2","17.9","0.2","11.2","0.2","21.0","0.2","100149","381","140112","691","39.1","(X)","(X)","(X)","(X)","(X)","9297773","37513","2.9","0.1","1.6","0.1","3.6","0.1","4.2","0.1","7.2","0.2","12.6","0.2","11.5","0.2","19.2","0.2","12.5","0.2","24.8","0.2","113969","828","157192","881","(X)","(X)","41.6","(X)","(X)","(X)","6599228","37735","1.5","0.1","0.9","0.1","2.5","0.1","2.9","0.1","5.4","0.2","10.4","0.3","10.6","0.2","20.0","0.3","14.5","0.2","31.4","0.3","138170","935","183563","997","(X)","(X)","(X)","(X)","(X)","(X)","4499865","32035","9.1","0.3","6.2","0.2","8.4","0.3","7.3","0.2","10.4","0.3","14.9","0.3","11.1","0.3","14.4","0.3","7.3","0.2","11.0","0.3","63280","844","95264","983","(X)","(X)","(X)","(X)","32.1","(X)",
"0400000US08","Colorado","2479892","8293","4.3","0.3","2.3","0.2","4.6","0.2","4.9","0.3","7.8","0.3","14.7","0.4","12.8","0.4","19.0","0.4","11.8","0.4","17.9","0.5","97113","1081","131072","1781","33.4","(X)","(X)","(X)","(X)","(X)","1528321","12896","2.7","0.3","1.2","0.2","2.4","0.2","3.0","0.3","6.0","0.4","12.3","0.5","12.5","0.6","21.4","0.6","14.8","0.5","23.7","0.7","121209","1727","157149","2464","(X)","(X)","35.0","(X)","(X)","(X)","1196874","15380","1.2","0.2","0.6","0.2","1.8","0.2","2.1","0.3","4.5","0.3","10.7","0.5","11.8","0.6","22.1","0.6","16.9","0.6","28.3","0.8","138217","1895","175703","2854","(X)","(X)","(X)","(X)","(X)","(X)","951571","13042","7.5","0.6","4.4","0.4","8.4","0.5","8.0","0.6","11.2","0.7","18.9","0.8","13.2","0.7","14.9","0.7","6.3","0.5","7.1","0.5","62537","1431","83834","1602","(X)","(X)","(X)","(X)","30.0","(X)",
"0400000US09","Connecticut","1455235","6160","4.8","0.4","3.0","0.3","5.0","0.4","5.0","0.3","8.5","0.4","13.8","0.5","11.7","0.5","17.3","0.5","11.6","0.5","19.4","0.5","96049","1824","139313","2180","38.1","(X)","(X)","(X)","(X)","(X)","924268","10670","3.1","0.4","1.5","0.3","3.0","0.4","3.1","0.3","6.7","0.5","11.5","0.7","11.4","0.6","19.3","0.7","14.4","0.6","26.1","0.7","122804","2046","169866","3139","(X)","(X)","40.5","(X)","(X)","(X)","663179","10618","0.9","0.2","0.6","0.2","1.4","0.3","2.0","0.3","4.2","0.4","9.2","0.6","10.5","0.6","20.4","0.8","17.2","0.8","33.5","0.8","151587","2144","202522","3726","(X)","(X)","(X)","(X)","(X)","(X)","530967","10978","8.4","0.8","5.8","0.7","9.1","0.8","8.8","0.8","12.1","0.9","18.4","1.1","12.3","0.9","12.7","0.8","6.1","0.6","6.2","0.6","56795","1475","79634","2524","(X)","(X)","(X)","(X)","32.8","(X)",
"0400000US10","Delaware","412304","3893","4.9","0.6","2.3","0.4","4.6","0.6","5.0","0.6","10.1","0.9","15.6","1.1","14.4","1.0","19.3","1.2","10.8","0.9","12.9","1.0","87534","2747","114291","3457","36.9","(X)","(X)","(X)","(X)","(X)","271399","6557","3.2","0.8","0.7","0.3","2.8","0.6","3.8","0.7","7.8","1.1","13.9","1.2","15.0","1.3","22.7","1.5","13.2","1.2","16.9","1.4","105622","3527","134249","4860","(X)","(X)","39.2","(X)","(X)","(X)","196270","6120","1.5","0.6","0.3","0.2","1.5","0.5","2.2","0.4","5.5","1.2","11.2","1.3","14.7","1.5","26.2","2.0","16.3","1.5","20.6","1.8","123300","3179","152467","5080","(X)","(X)","(X)","(X)","(X)","(X)","140905","5975","8.9","1.3","5.4","1.2","8.7","1.3","8.8","1.5","15.4","1.6","19.5","2.0","12.0","1.5","11.5","1.8","5.3","1.1","4.4","0.9","51848","1800","70705","3672","(X)","(X)","(X)","(X)","31.0","(X)",
"0400000US11","District of Columbia","329687","4510","7.8","1.1","3.5","0.7","5.7","0.9","3.9","0.9","5.3","0.9","10.5","1.2","9.8","1.0","16.8","1.1","10.1","1.1","26.6","1.2","109707","4149","161107","4769","31.2","(X)","(X)","(X)","(X)","(X)","137241","5706","5.4","1.6","2.1","0.9","6.7","1.8","3.7","1.2","5.1","1.4","7.2","1.6","7.0","1.7","12.6","1.6","11.2","1.9","39.1","2.7","151049","8673","214468","10984","(X)","(X)","36.7","(X)","(X)","(X)","82541","4360","0.6","0.5","0.3","0.4","1.8","1.2","1.5","0.8","2.9","1.2","4.3","1.5","5.5","2.0","11.8","2.3","13.2","2.5","58.0","3.7","228926","19265","296077","17041","(X)","(X)","(X)","(X)","(X)","(X)","192446","6660","9.8","1.7","4.3","0.9","5.1","1.1","4.2","1.2","5.6","1.1","12.8","1.7","12.0","1.4","20.0","1.7","9.6","1.2","16.6","1.5","91309","4345","119367","4765","(X)","(X)","(X)","(X)","26.3","(X)",
